DestinationID,Name,State,Type,Popularity,BestTimeToVisit
1,Taj Mahal,Uttar Pradesh,Historical,8.691906258695031,Nov-Feb
2,Goa Beaches,Goa,Beach,8.605031858363876,Nov-Mar
3,Jaipur City,Rajasthan,City,9.225372007612826,Oct-Mar
4,Kerala Backwaters,Kerala,Nature,7.9773855361057935,Sep-Mar
5,Leh Ladakh,Jammu and Kashmir,Adventure,8.399821878316247,Apr-Jun
6,Taj Mahal,Uttar Pradesh,Historical,7.6489495441529245,Nov-Feb
7,Goa Beaches,Goa,Beach,9.14506834197403,Nov-Mar
8,Jaipur City,Rajasthan,City,9.4587045393854,Oct-Mar
9,Kerala Backwaters,Kerala,Nature,9.260450137338132,Sep-Mar
10,Leh Ladakh,Jammu and Kashmir,Adventure,8.811952081678728,Apr-Jun
11,Taj Mahal,Uttar Pradesh,Historical,8.17770928252728,Nov-Feb
12,Goa Beaches,Goa,Beach,8.084317505906522,Nov-Mar
13,Jaipur City,Rajasthan,City,9.114721643188817,Oct-Mar
14,Kerala Backwaters,Kerala,Nature,8.551426230833268,Sep-Mar
15,Leh Ladakh,Jammu and Kashmir,Adventure,9.297389086740505,Apr-Jun
16,Taj Mahal,Uttar Pradesh,Historical,8.337332881983857,Nov-Feb
17,Goa Beaches,Goa,Beach,7.524150401549511,Nov-Mar
18,Jaipur City,Rajasthan,City,8.332572923728481,Oct-Mar
19,Kerala Backwaters,Kerala,Nature,9.01709023649701,Sep-Mar
20,Leh Ladakh,Jammu and Kashmir,Adventure,8.930902395039807,Apr-Jun
21,Taj Mahal,Uttar Pradesh,Historical,9.321865627407215,Nov-Feb
22,Goa Beaches,Goa,Beach,7.745073501266791,Nov-Mar
23,Jaipur City,Rajasthan,City,7.883349652185746,Oct-Mar
24,Kerala Backwaters,Kerala,Nature,9.182423104129008,Sep-Mar
25,Leh Ladakh,Jammu and Kashmir,Adventure,9.416526131108327,Apr-Jun
26,Taj Mahal,Uttar Pradesh,Historical,9.088205553232354,Nov-Feb
27,Goa Beaches,Goa,Beach,7.504499933755479,Nov-Mar
28,Jaipur City,Rajasthan,City,8.471855314612888,Oct-Mar
29,Kerala Backwaters,Kerala,Nature,8.320514389999829,Sep-Mar
30,Leh Ladakh,Jammu and Kashmir,Adventure,7.930637906720852,Apr-Jun
31,Taj Mahal,Uttar Pradesh,Historical,8.534267493855534,Nov-Feb
32,Goa Beaches,Goa,Beach,7.8063301955187105,Nov-Mar
33,Jaipur City,Rajasthan,City,7.684440449007848,Oct-Mar
34,Kerala Backwaters,Kerala,Nature,8.206055639263237,Sep-Mar
35,Leh Ladakh,Jammu and Kashmir,Adventure,8.115627955366532,Apr-Jun
36,Taj Mahal,Uttar Pradesh,Historical,8.152769658316458,Nov-Feb
37,Goa Beaches,Goa,Beach,8.874757885859394,Nov-Mar
38,Jaipur City,Rajasthan,City,9.458687607787096,Oct-Mar
39,Kerala Backwaters,Kerala,Nature,9.276722027226734,Sep-Mar
40,Leh Ladakh,Jammu and Kashmir,Adventure,9.451473447708324,Apr-Jun
41,Taj Mahal,Uttar Pradesh,Historical,9.45205627034071,Nov-Feb
42,Goa Beaches,Goa,Beach,8.854828172623169,Nov-Mar
43,Jaipur City,Rajasthan,City,8.935833780679161,Oct-Mar
44,Kerala Backwaters,Kerala,Nature,8.844208014043545,Sep-Mar
45,Leh Ladakh,Jammu and Kashmir,Adventure,8.987615299121257,Apr-Jun
46,Taj Mahal,Uttar Pradesh,Historical,8.66663306287539,Nov-Feb
