ReviewID,DestinationID,UserID,Rating,ReviewText
1,178,327,2,Incredible monument!
2,411,783,1,Loved the beaches!
3,927,12,2,A historical wonder
4,358,959,3,Incredible monument!
5,989,353,2,Loved the beaches!
6,473,408,4,A historical wonder
7,977,735,3,Incredible monument!
8,865,664,1,Loved the beaches!
9,698,330,2,A historical wonder
10,919,109,5,Incredible monument!
11,253,386,4,Loved the beaches!
12,305,813,2,A historical wonder
13,148,766,4,Incredible monument!
14,300,626,1,Loved the beaches!
15,75,403,5,A historical wonder
16,434,20,4,Incredible monument!
17,416,554,5,Loved the beaches!
18,379,910,5,A historical wonder
19,849,69,1,Incredible monument!
20,393,167,5,Loved the beaches!
21,422,935,1,A historical wonder
22,971,770,5,Incredible monument!
23,846,371,5,Loved the beaches!
24,512,30,4,A historical wonder
25,195,842,1,Incredible monument!
26,966,591,5,Loved the beaches!
27,674,454,5,A historical wonder
28,56,982,2,Incredible monument!
29,117,796,4,Loved the beaches!
30,160,356,1,A historical wonder
31,564,513,1,Incredible monument!
32,56,322,3,Loved the beaches!
33,515,332,4,A historical wonder
34,780,979,4,Incredible monument!
35,382,637,1,Loved the beaches!
36,24,872,3,A historical wonder
37,390,560,2,Incredible monument!
38,204,551,3,Loved the beaches!
39,84,133,2,A historical wonder
40,711,497,4,Incredible monument!
41,438,738,2,Loved the beaches!
42,549,410,3,A historical wonder
43,399,501,5,Incredible monument!
44,57,539,1,Loved the beaches!
45,763,535,4,A historical wonder
46,911,284,3,Incredible monument!
47,841,655,1,Loved the beaches!
48,884,140,1,A historical wonder
49,970,244,2,Incredible monument!
50,152,480,2,Loved the beaches!
51,523,488,1,A historical wonder
52,316,211,1,Incredible monument!
53,956,875,4,Loved the beaches!
54,665,321,5,A historical wonder
55,503,903,1,Incredible monument!
56,204,499,2,Loved the beaches!
57,33,554,2,A historical wonder
58,398,385,1,Incredible monument!
59,916,135,3,Loved the beaches!
60,687,732,1,A historical wonder
61,365,851,1,Incredible monument!
62,517,572,3,Loved the beaches!
63,305,103,2,A historical wonder
64,931,668,1,Incredible monument!
65,351,569,1,Loved the beaches!
66,630,179,2,A historical wonder
67,375,505,1,Incredible monument!
68,238,138,1,Loved the beaches!
69,181,740,1,A historical wonder
70,817,989,4,Incredible monument!
71,352,993,3,Loved the beaches!
72,373,112,4,A historical wonder
73,436,955,3,Incredible monument!
74,905,660,1,Loved the beaches!
75,23,684,4,A historical wonder
76,140,548,4,Incredible monument!
77,788,192,2,Loved the beaches!
78,590,340,4,A historical wonder
79,146,575,5,Incredible monument!
80,939,182,3,Loved the beaches!
81,507,359,3,A historical wonder
82,486,245,3,Incredible monument!
83,743,862,4,Loved the beaches!
84,963,6,5,A historical wonder
85,867,757,1,Incredible monument!
86,247,289,1,Loved the beaches!
87,326,604,5,A historical wonder
88,647,493,4,Incredible monument!
89,512,49,3,Loved the beaches!
90,2,558,2,A historical wonder
91,943,307,4,Incredible monument!
92,226,628,1,Loved the beaches!
93,304,225,4,A historical wonder
94,234,538,1,Incredible monument!
95,14,590,3,Loved the beaches!
96,671,700,4,A historical wonder
97,961,563,3,Incredible monument!
98,343,937,4,Loved the beaches!
99,844,624,1,A historical wonder
100,324,329,3,Incredible monument!
101,401,354,3,Loved the beaches!
102,836,251,5,A historical wonder
103,135,885,4,Incredible monument!
104,960,568,4,Loved the beaches!
105,853,521,1,A historical wonder
106,917,944,1,Incredible monument!
107,555,212,5,Loved the beaches!
108,648,397,4,A historical wonder
109,103,99,4,Incredible monument!
110,715,474,2,Loved the beaches!
111,966,152,3,A historical wonder
112,546,494,3,Incredible monument!
113,295,242,3,Loved the beaches!
114,733,489,2,A historical wonder
115,707,2,5,Incredible monument!
116,160,43,4,Loved the beaches!
117,439,84,3,A historical wonder
118,209,927,4,Incredible monument!
119,969,446,4,Loved the beaches!
120,346,899,5,A historical wonder
121,486,415,5,Incredible monument!
122,499,640,1,Loved the beaches!
123,709,218,5,A historical wonder
124,206,128,5,Incredible monument!
125,280,940,2,Loved the beaches!
126,503,682,5,A historical wonder
127,93,805,1,Incredible monument!
128,983,851,2,Loved the beaches!
129,9,509,3,A historical wonder
130,2,528,3,Incredible monument!
131,542,207,3,Loved the beaches!
132,210,54,1,A historical wonder
133,302,169,3,Incredible monument!
134,209,764,3,Loved the beaches!
135,700,919,1,A historical wonder
136,64,552,1,Incredible monument!
137,960,612,1,Loved the beaches!
138,567,493,4,A historical wonder
139,47,703,2,Incredible monument!
140,547,10,3,Loved the beaches!
141,679,144,2,A historical wonder
142,635,221,3,Incredible monument!
143,531,582,2,Loved the beaches!
144,732,398,4,A historical wonder
145,864,397,4,Incredible monument!
146,387,171,4,Loved the beaches!
147,130,10,1,A historical wonder
148,953,34,4,Incredible monument!
149,959,589,2,Loved the beaches!
150,338,47,5,A historical wonder
151,434,943,2,Incredible monument!
152,163,816,2,Loved the beaches!
153,356,490,2,A historical wonder
154,884,478,4,Incredible monument!
155,886,639,3,Loved the beaches!
156,702,708,4,A historical wonder
157,358,524,1,Incredible monument!
158,518,596,5,Loved the beaches!
159,90,919,1,A historical wonder
160,880,791,4,Incredible monument!
161,796,585,1,Loved the beaches!
162,405,399,3,A historical wonder
163,17,75,1,Incredible monument!
164,317,862,5,Loved the beaches!
165,851,552,4,A historical wonder
166,770,752,1,Incredible monument!
167,323,926,2,Loved the beaches!
168,426,338,2,A historical wonder
169,166,472,2,Incredible monument!
170,417,435,4,Loved the beaches!
171,759,845,3,A historical wonder
172,596,992,3,Incredible monument!
173,291,109,5,Loved the beaches!
174,879,493,4,A historical wonder
175,492,326,3,Incredible monument!
176,765,83,1,Loved the beaches!
177,118,123,3,A historical wonder
178,999,427,2,Incredible monument!
179,886,333,5,Loved the beaches!
180,442,716,3,A historical wonder
181,437,433,1,Incredible monument!
182,730,738,4,Loved the beaches!
183,806,736,5,A historical wonder
184,284,918,1,Incredible monument!
185,974,981,4,Loved the beaches!
186,386,262,4,A historical wonder
187,448,91,2,Incredible monument!
188,722,240,5,Loved the beaches!
189,872,124,2,A historical wonder
190,750,364,5,Incredible monument!
191,277,466,1,Loved the beaches!
192,762,391,4,A historical wonder
193,237,533,3,Incredible monument!
194,302,274,4,Loved the beaches!
195,898,223,2,A historical wonder
196,970,798,1,Incredible monument!
197,839,894,3,Loved the beaches!
198,116,101,2,A historical wonder
199,855,503,2,Incredible monument!
200,548,113,4,Loved the beaches!
201,486,363,5,A historical wonder
202,70,71,2,Incredible monument!
203,244,556,4,Loved the beaches!
204,150,48,3,A historical wonder
205,664,674,1,Incredible monument!
206,767,114,5,Loved the beaches!
207,749,151,4,A historical wonder
208,293,103,4,Incredible monument!
209,214,949,2,Loved the beaches!
210,952,786,5,A historical wonder
211,793,399,4,Incredible monument!
212,598,419,4,Loved the beaches!
213,816,192,4,A historical wonder
214,636,76,5,Incredible monument!
215,641,330,1,Loved the beaches!
216,518,336,4,A historical wonder
217,484,941,4,Incredible monument!
218,476,101,3,Loved the beaches!
219,121,544,5,A historical wonder
220,904,125,3,Incredible monument!
221,500,448,4,Loved the beaches!
222,803,664,5,A historical wonder
223,182,814,2,Incredible monument!
224,237,564,3,Loved the beaches!
225,995,474,2,A historical wonder
226,369,128,2,Incredible monument!
227,650,502,3,Loved the beaches!
228,962,260,1,A historical wonder
229,34,475,5,Incredible monument!
230,761,703,2,Loved the beaches!
231,719,127,4,A historical wonder
232,13,554,3,Incredible monument!
233,144,777,5,Loved the beaches!
234,802,816,2,A historical wonder
235,180,711,4,Incredible monument!
236,415,169,1,Loved the beaches!
237,682,289,5,A historical wonder
238,613,874,2,Incredible monument!
239,354,719,1,Loved the beaches!
240,379,29,4,A historical wonder
241,960,421,4,Incredible monument!
242,425,692,1,Loved the beaches!
243,656,190,4,A historical wonder
244,650,145,1,Incredible monument!
245,408,646,5,Loved the beaches!
246,953,947,1,A historical wonder
247,257,800,4,Incredible monument!
248,764,506,4,Loved the beaches!
249,345,987,4,A historical wonder
250,191,663,4,Incredible monument!
251,10,848,3,Loved the beaches!
252,915,484,3,A historical wonder
253,969,117,5,Incredible monument!
254,599,239,1,Loved the beaches!
255,151,871,1,A historical wonder
256,436,364,5,Incredible monument!
257,429,20,4,Loved the beaches!
258,556,845,1,A historical wonder
259,875,733,4,Incredible monument!
260,999,477,2,Loved the beaches!
261,180,544,5,A historical wonder
262,528,256,5,Incredible monument!
263,584,76,2,Loved the beaches!
264,63,662,1,A historical wonder
265,480,14,1,Incredible monument!
266,130,133,5,Loved the beaches!
267,592,285,1,A historical wonder
268,309,666,2,Incredible monument!
269,268,20,2,Loved the beaches!
270,801,58,5,A historical wonder
271,635,769,2,Incredible monument!
272,442,834,4,Loved the beaches!
273,909,81,4,A historical wonder
274,527,521,1,Incredible monument!
275,462,591,4,Loved the beaches!
276,218,100,2,A historical wonder
277,666,200,4,Incredible monument!
278,548,373,4,Loved the beaches!
279,99,860,1,A historical wonder
280,507,39,5,Incredible monument!
281,412,571,4,Loved the beaches!
282,282,181,4,A historical wonder
283,870,999,3,Incredible monument!
284,693,316,2,Loved the beaches!
285,978,135,1,A historical wonder
286,390,827,3,Incredible monument!
287,468,855,3,Loved the beaches!
288,770,803,5,A historical wonder
289,514,452,1,Incredible monument!
290,60,743,3,Loved the beaches!
291,878,101,5,A historical wonder
292,361,720,4,Incredible monument!
293,178,653,5,Loved the beaches!
294,774,314,3,A historical wonder
295,955,931,5,Incredible monument!
296,739,47,4,Loved the beaches!
297,409,753,3,A historical wonder
298,572,763,2,Incredible monument!
299,360,825,3,Loved the beaches!
300,878,989,3,A historical wonder
301,294,838,3,Incredible monument!
302,491,729,1,Loved the beaches!
303,120,131,3,A historical wonder
304,693,792,5,Incredible monument!
305,478,628,5,Loved the beaches!
306,400,281,5,A historical wonder
307,520,480,5,Incredible monument!
308,685,88,5,Loved the beaches!
309,166,225,1,A historical wonder
310,977,109,3,Incredible monument!
311,409,546,4,Loved the beaches!
312,469,494,4,A historical wonder
313,743,808,1,Incredible monument!
314,35,782,1,Loved the beaches!
315,720,973,2,A historical wonder
316,827,492,1,Incredible monument!
317,844,781,2,Loved the beaches!
318,28,946,2,A historical wonder
319,25,916,2,Incredible monument!
320,657,848,4,Loved the beaches!
321,867,475,4,A historical wonder
322,905,516,4,Incredible monument!
323,20,330,2,Loved the beaches!
324,171,499,3,A historical wonder
325,188,95,5,Incredible monument!
326,1000,365,5,Loved the beaches!
327,659,620,5,A historical wonder
328,717,510,5,Incredible monument!
329,724,49,4,Loved the beaches!
330,403,952,1,A historical wonder
331,223,315,1,Incredible monument!
332,396,699,2,Loved the beaches!
333,502,180,5,A historical wonder
334,792,434,1,Incredible monument!
335,208,5,3,Loved the beaches!
336,137,31,2,A historical wonder
337,82,646,5,Incredible monument!
338,821,297,2,Loved the beaches!
339,551,196,1,A historical wonder
340,239,334,5,Incredible monument!
341,604,733,5,Loved the beaches!
342,176,567,4,A historical wonder
343,918,579,2,Incredible monument!
344,752,615,4,Loved the beaches!
345,709,778,3,A historical wonder
346,276,904,3,Incredible monument!
347,776,363,1,Loved the beaches!
348,320,789,3,A historical wonder
349,746,778,3,Incredible monument!
350,920,697,3,Loved the beaches!
351,84,4,1,A historical wonder
352,677,673,2,Incredible monument!
353,344,310,1,Loved the beaches!
354,346,496,3,A historical wonder
355,731,523,5,Incredible monument!
356,701,233,2,Loved the beaches!
357,52,73,1,A historical wonder
358,838,334,2,Incredible monument!
359,827,659,4,Loved the beaches!
360,374,230,3,A historical wonder
361,113,959,5,Incredible monument!
362,587,822,3,Loved the beaches!
363,867,397,4,A historical wonder
364,123,259,4,Incredible monument!
365,195,565,4,Loved the beaches!
366,451,242,5,A historical wonder
367,969,79,1,Incredible monument!
368,608,367,3,Loved the beaches!
369,354,165,5,A historical wonder
370,141,216,2,Incredible monument!
371,405,718,5,Loved the beaches!
372,24,191,3,A historical wonder
373,384,934,3,Incredible monument!
374,8,322,3,Loved the beaches!
375,907,340,3,A historical wonder
376,692,398,2,Incredible monument!
377,718,174,5,Loved the beaches!
378,156,433,1,A historical wonder
379,457,305,5,Incredible monument!
380,913,288,5,Loved the beaches!
381,359,476,4,A historical wonder
382,191,616,1,Incredible monument!
383,108,364,5,Loved the beaches!
384,458,973,2,A historical wonder
385,471,694,4,Incredible monument!
386,423,47,3,Loved the beaches!
387,898,222,1,A historical wonder
388,742,218,2,Incredible monument!
389,80,498,5,Loved the beaches!
390,479,378,2,A historical wonder
391,241,745,4,Incredible monument!
392,165,961,2,Loved the beaches!
393,351,283,2,A historical wonder
394,203,807,2,Incredible monument!
395,501,323,1,Loved the beaches!
396,926,57,2,A historical wonder
397,824,801,4,Incredible monument!
398,146,216,3,Loved the beaches!
399,538,184,5,A historical wonder
400,463,104,2,Incredible monument!
401,714,291,4,Loved the beaches!
402,5,947,1,A historical wonder
403,969,890,2,Incredible monument!
404,524,107,4,Loved the beaches!
405,225,671,3,A historical wonder
406,916,89,5,Incredible monument!
407,374,629,1,Loved the beaches!
408,136,268,2,A historical wonder
409,795,537,4,Incredible monument!
410,315,15,5,Loved the beaches!
411,795,259,2,A historical wonder
412,634,872,5,Incredible monument!
413,132,403,2,Loved the beaches!
414,323,360,5,A historical wonder
415,746,49,5,Incredible monument!
416,318,26,5,Loved the beaches!
417,799,814,5,A historical wonder
418,106,708,3,Incredible monument!
419,863,503,2,Loved the beaches!
420,456,215,4,A historical wonder
421,375,449,3,Incredible monument!
422,826,509,4,Loved the beaches!
423,153,148,3,A historical wonder
424,597,730,4,Incredible monument!
425,893,970,2,Loved the beaches!
426,327,763,4,A historical wonder
427,718,473,5,Incredible monument!
428,193,540,5,Loved the beaches!
429,876,463,1,A historical wonder
430,256,852,4,Incredible monument!
431,414,431,3,Loved the beaches!
432,899,635,1,A historical wonder
433,83,950,3,Incredible monument!
434,837,994,5,Loved the beaches!
435,123,273,4,A historical wonder
436,640,554,5,Incredible monument!
437,84,754,5,Loved the beaches!
438,137,721,2,A historical wonder
439,327,118,1,Incredible monument!
440,914,945,4,Loved the beaches!
441,507,101,3,A historical wonder
442,663,399,2,Incredible monument!
443,94,708,3,Loved the beaches!
444,115,548,1,A historical wonder
445,942,369,2,Incredible monument!
446,586,322,1,Loved the beaches!
447,138,989,4,A historical wonder
448,794,306,5,Incredible monument!
449,629,860,2,Loved the beaches!
450,419,303,2,A historical wonder
451,140,620,1,Incredible monument!
452,282,563,2,Loved the beaches!
453,497,956,5,A historical wonder
454,69,212,5,Incredible monument!
455,523,481,1,Loved the beaches!
456,336,976,5,A historical wonder
457,161,579,2,Incredible monument!
458,630,252,3,Loved the beaches!
