HistoryID,UserID,DestinationID,VisitDate,ExperienceRating
1,525,760,2024-01-01,3
2,184,532,2024-02-15,5
3,897,786,2024-03-20,2
4,470,660,2024-01-01,1
5,989,389,2024-02-15,4
6,266,394,2024-03-20,3
7,399,953,2024-01-01,2
8,869,901,2024-02-15,4
9,580,890,2024-03-20,1
10,876,727,2024-01-01,4
11,522,97,2024-02-15,2
12,989,779,2024-03-20,4
13,469,715,2024-01-01,3
14,46,487,2024-02-15,1
15,98,617,2024-03-20,5
16,45,925,2024-01-01,4
17,424,893,2024-02-15,2
18,352,149,2024-03-20,5
19,330,208,2024-01-01,3
20,76,310,2024-02-15,2
21,501,200,2024-03-20,1
22,609,458,2024-01-01,1
23,276,476,2024-02-15,4
24,752,420,2024-03-20,3
25,81,805,2024-01-01,3
26,290,619,2024-02-15,2
27,422,986,2024-03-20,2
28,129,586,2024-01-01,3
29,324,38,2024-02-15,5
30,421,410,2024-03-20,3
31,2,385,2024-01-01,5
32,476,114,2024-02-15,1
33,260,208,2024-03-20,2
34,878,732,2024-01-01,1
35,951,734,2024-02-15,4
36,688,966,2024-03-20,5
37,902,216,2024-01-01,4
38,533,559,2024-02-15,3
39,234,884,2024-03-20,2
40,9,959,2024-01-01,2
41,781,284,2024-02-15,3
42,739,554,2024-03-20,3
43,649,871,2024-01-01,2
44,463,10,2024-02-15,5
45,631,394,2024-03-20,2
46,708,127,2024-01-01,4
47,891,796,2024-02-15,3
48,488,532,2024-03-20,2
49,554,933,2024-01-01,1
50,957,404,2024-02-15,1
51,296,348,2024-03-20,5
52,295,916,2024-01-01,1
53,234,872,2024-02-15,2
54,306,223,2024-03-20,3
55,18,883,2024-01-01,1
56,297,659,2024-02-15,2
57,882,814,2024-03-20,1
58,809,396,2024-01-01,1
59,591,893,2024-02-15,1
60,65,494,2024-03-20,3
61,290,682,2024-01-01,1
62,217,188,2024-02-15,2
63,977,395,2024-03-20,3
64,859,880,2024-01-01,3
65,29,505,2024-02-15,3
66,747,660,2024-03-20,4
67,61,339,2024-01-01,5
68,906,330,2024-02-15,4
69,442,433,2024-03-20,3
70,450,419,2024-01-01,5
71,18,582,2024-02-15,1
72,446,105,2024-03-20,3
73,222,223,2024-01-01,4
74,852,874,2024-02-15,5
75,328,303,2024-03-20,4
76,537,804,2024-01-01,5
77,431,621,2024-02-15,4
78,423,619,2024-03-20,4
79,327,175,2024-01-01,3
80,628,631,2024-02-15,5
81,834,575,2024-03-20,2
82,303,849,2024-01-01,1
83,636,139,2024-02-15,5
84,69,92,2024-03-20,2
85,107,130,2024-01-01,5
86,866,589,2024-02-15,2
87,60,320,2024-03-20,4
88,461,329,2024-01-01,1
89,594,340,2024-02-15,3
90,344,565,2024-03-20,4
91,331,723,2024-01-01,2
92,855,371,2024-02-15,5
93,44,230,2024-03-20,2
94,291,675,2024-01-01,1
95,34,886,2024-02-15,5
96,77,803,2024-03-20,5
97,976,611,2024-01-01,5
98,556,387,2024-02-15,2
99,671,94,2024-03-20,2
100,88,889,2024-01-01,1
101,934,51,2024-02-15,2
102,653,423,2024-03-20,5
103,676,824,2024-01-01,5
104,411,975,2024-02-15,1
105,323,922,2024-03-20,2
106,756,766,2024-01-01,1
107,686,180,2024-02-15,5
108,941,936,2024-03-20,4
109,899,9,2024-01-01,1
110,544,472,2024-02-15,4
111,132,839,2024-03-20,5
112,890,655,2024-01-01,4
113,944,391,2024-02-15,4
114,438,880,2024-03-20,1
115,524,476,2024-01-01,5
116,160,96,2024-02-15,1
117,288,158,2024-03-20,3
118,363,152,2024-01-01,2
119,35,91,2024-02-15,5
120,316,22,2024-03-20,5
121,239,27,2024-01-01,4
122,948,1000,2024-02-15,3
123,343,478,2024-03-20,3
124,50,21,2024-01-01,2
125,78,61,2024-02-15,4
126,563,403,2024-03-20,3
127,805,428,2024-01-01,3
128,462,218,2024-02-15,2
129,762,739,2024-03-20,1
130,129,399,2024-01-01,2
131,404,952,2024-02-15,3
132,155,567,2024-03-20,5
133,944,749,2024-01-01,4
134,148,301,2024-02-15,2
135,119,402,2024-03-20,4
136,356,993,2024-01-01,2
137,596,926,2024-02-15,5
138,850,131,2024-03-20,1
139,975,828,2024-01-01,3
140,759,969,2024-02-15,1
141,298,797,2024-03-20,4
142,367,126,2024-01-01,4
143,904,169,2024-02-15,5
144,750,401,2024-03-20,2
145,256,242,2024-01-01,3
146,703,82,2024-02-15,2
147,757,126,2024-03-20,2
148,526,170,2024-01-01,3
149,480,389,2024-02-15,1
150,782,805,2024-03-20,3
151,874,315,2024-01-01,3
